Username,Password,Employee ID,Is Active,Role
admin,admin123,,true,ADMIN
10001,emp01,10001,true,ADMIN
10002,emp02,10002,true,ADMIN
10003,emp03,10003,true,ADMIN
10004,emp04,10004,true,ADMIN
10005,emp05,10005,true,IT
10006,emp06,10006,true,HR
10007,emp07,10007,true,HR
10008,emp08,10008,true,HR
10009,emp09,10009,true,HR
10010,emp10,10010,true,FINANCE
10011,emp11,10011,true,FINANCE
10012,emp12,10012,true,FINANCE
10014,emp14,10014,true,FINANCE
10013,emp13,10013,true,FINANCE
10015,emp15,10015,true,EMPLOYEE
10016,emp16,10016,true,EMPLOYEE
10017,emp17,10017,true,EMPLOYEE
10018,emp18,10018,true,EMPLOYEE
10019,emp19,10019,true,EMPLOYEE
10020,emp20,10020,true,EMPLOYEE
10021,emp21,10021,true,EMPLOYEE
10022,emp22,10022,true,EMPLOYEE
10023,emp23,10023,true,EMPLOYEE
10024,emp24,10024,true,EMPLOYEE
10025,emp25,10025,true,EMPLOYEE
10026,emp26,10026,true,EMPLOYEE
10027,emp27,10027,true,EMPLOYEE
10028,emp28,10028,true,EMPLOYEE
10029,emp29,10029,true,EMPLOYEE
10030,emp30,10030,true,EMPLOYEE
10031,emp31,10031,true,EMPLOYEE
10032,emp32,10032,true,EMPLOYEE
10033,emp33,10033,true,EMPLOYEE
10034,emp34,10034,true,EMPLOYEE

